Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
20829,VANDE BHARAT EXP,DURG,DURG,8,SECR,81.291837,21.200327
20829,VANDE BHARAT EXP,RAIPUR JN,R,11,SECR,81.629328,21.256462
20829,VANDE BHARAT EXP,MAHASAMUND,MSMD,21,SECR,82.10389,21.113138
20829,VANDE BHARAT EXP,KHARIAR ROAD,KRAR,26,SECR,82.510513277,20.9013855558
20829,VANDE BHARAT EXP,KANTABANJI,KBJ,33,SECR,82.906517,20.474059
20829,VANDE BHARAT EXP,TITLAGARH,TIG,36,SECR,83.154382,20.284399
20829,VANDE BHARAT EXP,KESINGA,KSNG,39,SECR,83.224709,20.188103
20829,VANDE BHARAT EXP,RAYAGADA,RGDA,34,SECR,83.410505,19.175642
20829,VANDE BHARAT EXP,PARVATIPURAM,PVP,37,SECR,83.42696600000000,18.77067
20829,VANDE BHARAT EXP,VIZIANAGRAM JN,VZM,35,SECR,83.39558600000000,18.111374
20829,VANDE BHARAT EXP,VISHAKAPATNAM,VSKP,18,SECR,83.289514,17.72159
