Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
22883,PURI YPR G RATH,PURI,PURI,13,ECOR,85.839992,19.811459
22883,PURI YPR G RATH,KHURDA ROAD JN,KUR,34,ECOR,85.70823400000000,20.153076
22883,PURI YPR G RATH,CHATRAPUR,CAP,65,ECOR,84.97327300000000,19.3589572
22883,PURI YPR G RATH,BRAHMAPUR,BAM,63,ECOR,84.7966912,19.2961348
22883,PURI YPR G RATH,SOMPETA,SPT,66,ECOR,84.58150000000000,18.981297
22883,PURI YPR G RATH,PALASA,PSA,43,ECOR,84.42209100000000,18.756782
22883,PURI YPR G RATH,SRIKAKULAM ROAD,CHE,47,ECOR,83.903771,18.408679
22883,PURI YPR G RATH,VIZIANAGRAM JN,VZM,44,ECOR,83.39558600000000,18.111374
22883,PURI YPR G RATH,VISHAKAPATNAM,VSKP,44,ECOR,83.289514,17.72159
22883,PURI YPR G RATH,DUVVADA,DVD,51,ECOR,83.152059,17.703843
22883,PURI YPR G RATH,ANAKAPALLE,AKP,58,ECOR,83.00885100000000,17.695503
22883,PURI YPR G RATH,SAMALKOT JN,SLO,50,ECOR,82.168724,17.044827
22883,PURI YPR G RATH,RAJAMUNDRY,RJY,57,ECOR,81.783901,16.984159
22883,PURI YPR G RATH,ELURU,EE,51,ECOR,81.11976200000000,16.717816
22883,PURI YPR G RATH,VIJAYAWADA JN,BZA,37,ECOR,80.61864800000000,16.518262
22883,PURI YPR G RATH,GUNTUR JN,GNT,37,ECOR,80.44197300000000,16.300784
22883,PURI YPR G RATH,NARASARAOPET,NRT,38,ECOR,80.041607,16.231527
22883,PURI YPR G RATH,MARKAPUR ROAD,MRK,40,ECOR,79.301115,15.714678
22883,PURI YPR G RATH,NANDYAL,NDL,27,ECOR,78.472545,15.468024
22883,PURI YPR G RATH,DHONE,DHNE,38,ECOR,77.865727,15.396729
22883,PURI YPR G RATH,ANANTAPUR,ATP,43,ECOR,77.59531200000000,14.686478
22883,PURI YPR G RATH,DHARMAVARAM JN,DMM,33,ECOR,77.717115,14.424369
22883,PURI YPR G RATH,HINDUPUR,HUP,69,ECOR,77.500362,13.819144
22883,PURI YPR G RATH,YELHANKA JN,YNK,57,ECOR,77.593069,13.102795
22883,PURI YPR G RATH,YESVANTPUR JN,YPR,35,ECOR,77.55117400000000,13.022839
