Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12517,GHY GARIB RATH,KOLKATA,KOAA,11,NFR,88.385179,22.601175
12517,GHY GARIB RATH,BANDEL JN,BDC,18,NFR,88.3793623,22.9236565
12517,GHY GARIB RATH,NABADWIP DHAM,NDAE,26,NFR,88.356472,23.396593
12517,GHY GARIB RATH,KATWA,KWAE,22,NFR,88.124085,23.640315
12517,GHY GARIB RATH,AZIMGANJ JN,AZ,12,NFR,88.256764,24.219053
12517,GHY GARIB RATH,JANGIPUR ROAD,JRLE,20,NFR,88.04076,24.459515
12517,GHY GARIB RATH,MALDA TOWN,MLDT,15,NFR,88.130338,25.015659
12517,GHY GARIB RATH,KISHANGANJ,KNE,59,NFR,87.949657,26.097746
12517,GHY GARIB RATH,NEW JALPAIGURI,NJP,55,NFR,88.443391,26.683025
12517,GHY GARIB RATH,NEW COOCH BEHAR,NCB,77,NFR,89.469766,26.353159
12517,GHY GARIB RATH,NEW ALIPURDAUR,NOQ,71,NFR,89.541398,26.48572
12517,GHY GARIB RATH,KOKRAJHAR,KOJ,83,NFR,90.274125,26.405057
12517,GHY GARIB RATH,NEW BONGAIGAON,NBQ,86,NFR,90.53684346440000,26.4758354405
12517,GHY GARIB RATH,GOALPARA TOWN,GLPT,86,NFR,90.62065900000000,26.126535
12517,GHY GARIB RATH,GUWAHATI,GHY,73,NFR,91.751851,26.182635
