Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12572,GKP HUMSFAR,ANAND VIHAR TRM,ANVT,1,NER,77.31521255,28.6505035654
12572,GKP HUMSFAR,KANPUR CENTRAL,CNB,30,NER,80.350966,26.45424
12572,GKP HUMSFAR,LUCKNOW NR,LKO,49,NER,80.925291,26.830675
12572,GKP HUMSFAR,GONDA JN,GD,62,NER,81.97815200000000,27.154613
12572,GKP HUMSFAR,BALRAMPUR,BLP,62,NER,82.16066989870000,27.4158206073
12572,GKP HUMSFAR,TULSIPUR,TLR,64,NER,82.4114096783,27.5317699289
12572,GKP HUMSFAR,BARHNI,BNY,74,NER,82.7918337,27.4957951
12572,GKP HUMSFAR,SIDDHARTH NAGAR,SDDN,82,NER,,
12572,GKP HUMSFAR,ANAND NAGAR,ANDN,81,NER,83.270698,27.103714
12572,GKP HUMSFAR,GORAKHPUR JN,GKP,66,NER,83.381499,26.759311
