Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
20817,TEJAS RAJ EXP,BHUBANESWAR,BBS,7,ECOR,85.84259500000000,20.265388
20817,TEJAS RAJ EXP,CUTTACK,CTC,20,ECOR,85.90156,20.466588
20817,TEJAS RAJ EXP,DHENKANAL,DNKL,26,ECOR,85.59087800000000,20.676825
20817,TEJAS RAJ EXP,ANGUL,ANGL,52,ECOR,85.099994,20.859445
20817,TEJAS RAJ EXP,SAMBALPUR CITY,SBPY,63,ECOR,84.0076171613,21.4770222859
20817,TEJAS RAJ EXP,JHARSUGUDA JN,JSG,40,ECOR,84.017427,21.862274
20817,TEJAS RAJ EXP,ROURKELA,ROU,39,ECOR,84.86313200000000,22.22844
20817,TEJAS RAJ EXP,CHAKRADHARPUR,CKP,60,ECOR,85.62777100000000,22.678979
20817,TEJAS RAJ EXP,ANARA,ANR,217,ECOR,86.559763,23.481082
20817,TEJAS RAJ EXP,NSC BOSE J GOMO,GMO,180,ECOR,86.14823,23.873106
20817,TEJAS RAJ EXP,KODERMA,KQR,183,ECOR,85.52945800000000,24.434741
20817,TEJAS RAJ EXP,GAYA JN,GAYA,178,ECOR,84.999294,24.803978
20817,TEJAS RAJ EXP,PT DEEN DAYAL UPADHYAY JN,DDU,180,ECOR,,
20817,TEJAS RAJ EXP,PRAYAGRAJ JN,PRYJ,180,ECOR,81.8253,25.4453
20817,TEJAS RAJ EXP,KANPUR CENTRAL,CNB,177,ECOR,80.350966,26.45424
20817,TEJAS RAJ EXP,NEW DELHI,NDLS,181,ECOR,77.22000400000000,28.642314
