Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12066,AII JAN SHATABDI,DELHI S ROHILLA,DEE,1,NWR,77.187106,28.662992
12066,AII JAN SHATABDI,DELHI CANTT,DEC,5,NWR,77.116577,28.613534
12066,AII JAN SHATABDI,GURGAON,GGN,7,NWR,77.010739,28.489165
12066,AII JAN SHATABDI,REWARI,RE,10,NWR,76.609414,28.202779
12066,AII JAN SHATABDI,NARNAUL,NNL,17,NWR,76.123133,28.044396
12066,AII JAN SHATABDI,NIM KA THANA,NMK,20,NWR,75.779691,27.741573
12066,AII JAN SHATABDI,SHRI MADHOPUR,SMPR,20,NWR,75.59829400000000,27.457628
12066,AII JAN SHATABDI,RINGAS JN,RGS,21,NWR,75.56360400000000,27.373379
12066,AII JAN SHATABDI,PHULERA JN,FL,23,NWR,75.24545600000000,26.872814
12066,AII JAN SHATABDI,KISHANGARH,KSG,29,NWR,74.855553,26.588968
12066,AII JAN SHATABDI,AJMER JN,AII,0,NWR,74.63746400000000,26.456612
