Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12503,AGTL HUMSAFAR,SMVT BENGALURU,SMVB,94,NFR,77.6418,13.0006
12503,AGTL HUMSAFAR,WHITEFIELD,WFD,106,NFR,77.76130500000000,12.995253
12503,AGTL HUMSAFAR,KATPADI JN,KPD,127,NFR,79.13534100000000,12.972734
12503,AGTL HUMSAFAR,PERAMBUR,PER,135,NFR,80.24453300000000,13.10702
12503,AGTL HUMSAFAR,VIJAYAWADA JN,BZA,155,NFR,80.61864800000000,16.518262
12503,AGTL HUMSAFAR,DUVVADA,DVD,135,NFR,83.152059,17.703843
12503,AGTL HUMSAFAR,VISHAKAPATNAM,VSKP,156,NFR,83.289514,17.72159
12503,AGTL HUMSAFAR,VIZIANAGRAM JN,VZM,170,NFR,83.39558600000000,18.111374
12503,AGTL HUMSAFAR,SRIKAKULAM ROAD,CHE,174,NFR,83.903771,18.408679
12503,AGTL HUMSAFAR,PALASA,PSA,161,NFR,84.42209100000000,18.756782
12503,AGTL HUMSAFAR,BRAHMAPUR,BAM,177,NFR,84.7966912,19.2961348
12503,AGTL HUMSAFAR,KHURDA ROAD JN,KUR,199,NFR,85.70823400000000,20.153076
12503,AGTL HUMSAFAR,BHUBANESWAR,BBS,207,NFR,85.84259500000000,20.265388
12503,AGTL HUMSAFAR,CUTTACK,CTC,222,NFR,85.90156,20.466588
12503,AGTL HUMSAFAR,BHADRAKH,BHC,199,NFR,86.5162305,21.0917458
12503,AGTL HUMSAFAR,KHARAGPUR JN,KGP,248,NFR,87.32845600000000,22.341432
12503,AGTL HUMSAFAR,ANDUL,ADL,272,NFR,88.239643,22.575169
12503,AGTL HUMSAFAR,DANKUNI,DKAE,271,NFR,88.291491,22.677422
12503,AGTL HUMSAFAR,RAMPUR HAT,RPH,326,NFR,87.78214700000000,24.179797
12503,AGTL HUMSAFAR,MALDA TOWN,MLDT,302,NFR,88.130338,25.015659
12503,AGTL HUMSAFAR,KISHANGANJ,KNE,314,NFR,87.949657,26.097746
12503,AGTL HUMSAFAR,NEW JALPAIGURI,NJP,314,NFR,88.443391,26.683025
12503,AGTL HUMSAFAR,NEW BONGAIGAON,NBQ,320,NFR,90.53684346440000,26.4758354405
12503,AGTL HUMSAFAR,KAMAKHYA,KYQ,320,NFR,91.689505,26.156154
12503,AGTL HUMSAFAR,GUWAHATI,GHY,335,NFR,91.751851,26.182635
12503,AGTL HUMSAFAR,NEW HAFLONG,NHLG,380,NFR,93.0319,25.1481
12503,AGTL HUMSAFAR,BADARPUR JN,BPB,380,NFR,92.5563227,24.8651775
12503,AGTL HUMSAFAR,NEW KARIMGANJ,NKMG,381,NFR,92.3943808116131,24.8433689098397
12503,AGTL HUMSAFAR,DHARMANAGAR,DMR,372,NFR,92.16824700000000,24.366946
12503,AGTL HUMSAFAR,AMBASA,ABSA,369,NFR,91.860783,23.930507
12503,AGTL HUMSAFAR,AGARTALA,AGTL,341,NFR,91.278481,23.792417
