Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
22824,BUBNESWR RJDHNI,NEW DELHI,NDLS,37,ECOR,77.22000400000000,28.642314
22824,BUBNESWR RJDHNI,KANPUR CENTRAL,CNB,57,ECOR,80.350966,26.45424
22824,BUBNESWR RJDHNI,PRAYAGRAJ JN,PRYJ,63,ECOR,81.8253,25.4453
22824,BUBNESWR RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,66,ECOR,,
22824,BUBNESWR RJDHNI,GAYA JN,GAYA,70,ECOR,84.999294,24.803978
22824,BUBNESWR RJDHNI,KODERMA,KQR,71,ECOR,85.52945800000000,24.434741
22824,BUBNESWR RJDHNI,NSC BOSE J GOMO,GMO,70,ECOR,86.14823,23.873106
22824,BUBNESWR RJDHNI,BOKARO STL CITY,BKSC,62,ECOR,86.08501600000000,23.656551
22824,BUBNESWR RJDHNI,MURI,MURI,66,ECOR,85.8669906885,23.376284371
22824,BUBNESWR RJDHNI,TATANAGAR JN,TATA,80,ECOR,86.20056000000000,22.768954
22824,BUBNESWR RJDHNI,HIJILLI,HIJ,93,ECOR,87.32016900000000,22.319921
22824,BUBNESWR RJDHNI,BALASORE,BLS,94,ECOR,86.91958200000000,21.500521
22824,BUBNESWR RJDHNI,BHADRAKH,BHC,87,ECOR,86.5162305,21.0917458
22824,BUBNESWR RJDHNI,CUTTACK,CTC,98,ECOR,85.90156,20.466588
22824,BUBNESWR RJDHNI,BHUBANESWAR,BBS,89,ECOR,85.84259500000000,20.265388
