Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
22883,PURI YPR G RATH,PURI,PURI,1,ECOR,85.839992,19.811459
22883,PURI YPR G RATH,KHURDA ROAD JN,KUR,26,ECOR,85.70823400000000,20.153076
22883,PURI YPR G RATH,CHATRAPUR,CAP,55,ECOR,84.97327300000000,19.3589572
22883,PURI YPR G RATH,BRAHMAPUR,BAM,51,ECOR,84.7966912,19.2961348
22883,PURI YPR G RATH,SOMPETA,SPT,54,ECOR,84.58150000000000,18.981297
22883,PURI YPR G RATH,PALASA,PSA,41,ECOR,84.42209100000000,18.756782
22883,PURI YPR G RATH,SRIKAKULAM ROAD,CHE,44,ECOR,83.903771,18.408679
22883,PURI YPR G RATH,VIZIANAGRAM JN,VZM,35,ECOR,83.39558600000000,18.111374
22883,PURI YPR G RATH,VISHAKAPATNAM,VSKP,22,ECOR,83.289514,17.72159
22883,PURI YPR G RATH,DUVVADA,DVD,34,ECOR,83.152059,17.703843
22883,PURI YPR G RATH,ANAKAPALLE,AKP,41,ECOR,83.00885100000000,17.695503
22883,PURI YPR G RATH,SAMALKOT JN,SLO,37,ECOR,82.168724,17.044827
22883,PURI YPR G RATH,RAJAMUNDRY,RJY,43,ECOR,81.783901,16.984159
22883,PURI YPR G RATH,ELURU,EE,36,ECOR,81.11976200000000,16.717816
22883,PURI YPR G RATH,VIJAYAWADA JN,BZA,14,ECOR,80.61864800000000,16.518262
22883,PURI YPR G RATH,GUNTUR JN,GNT,10,ECOR,80.44197300000000,16.300784
22883,PURI YPR G RATH,NARASARAOPET,NRT,9,ECOR,80.041607,16.231527
22883,PURI YPR G RATH,MARKAPUR ROAD,MRK,12,ECOR,79.301115,15.714678
22883,PURI YPR G RATH,NANDYAL,NDL,3,ECOR,78.472545,15.468024
22883,PURI YPR G RATH,DHONE,DHNE,12,ECOR,77.865727,15.396729
22883,PURI YPR G RATH,ANANTAPUR,ATP,5,ECOR,77.59531200000000,14.686478
22883,PURI YPR G RATH,DHARMAVARAM JN,DMM,1,ECOR,77.717115,14.424369
22883,PURI YPR G RATH,HINDUPUR,HUP,17,ECOR,77.500362,13.819144
22883,PURI YPR G RATH,YELHANKA JN,YNK,50,ECOR,77.593069,13.102795
