Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12535,LJN R GARIBRATH,LUCKNOW NE,LJN,0,NER,80.91858700000000,26.831967
12535,LJN R GARIBRATH,KANPUR CENTRAL,CNB,50,NER,80.350966,26.45424
12535,LJN R GARIBRATH,RAGAUL,RGU,75,NER,80.129683,25.686945
12535,LJN R GARIBRATH,BANDA JN,BNDA,74,NER,80.336246,25.477677
12535,LJN R GARIBRATH,ATARRA,ATE,70,NER,80.576491,25.291367
12535,LJN R GARIBRATH,CHITRAKOOTDHAM,CKTD,87,NER,80.922775,25.217611
12535,LJN R GARIBRATH,SATNA,STA,54,NER,80.827717,24.568619
12535,LJN R GARIBRATH,KATNI,KTE,76,NER,80.400543,23.833385
12535,LJN R GARIBRATH,SHAHDOL,SDL,72,NER,81.36407300000000,23.285962
12535,LJN R GARIBRATH,ANUPPUR JN,APR,74,NER,81.695967,23.117312
12535,LJN R GARIBRATH,PENDRA ROAD,PND,75,NER,81.89917,22.755825
12535,LJN R GARIBRATH,USLAPUR,USL,57,NER,82.111546,22.102548
12535,LJN R GARIBRATH,BHATAPARA,BYT,72,NER,81.946062,21.732464
12535,LJN R GARIBRATH,RAIPUR JN,R,68,NER,81.629328,21.256462
