Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
22414,NZM MAO RAJDANI,H NIZAMUDDIN,NZM,11,NR,77.254249,28.58733
22414,NZM MAO RAJDANI,KOTA JN,KOTA,42,NR,75.8805,25.223553
22414,NZM MAO RAJDANI,RATLAM JN,RTM,29,NR,75.050826,23.34038
22414,NZM MAO RAJDANI,VADODARA JN,BRC,22,NR,73.181065,22.310756
22414,NZM MAO RAJDANI,SURAT,ST,21,NR,72.840793,21.206568
22414,NZM MAO RAJDANI,VASAI ROAD,BSR,26,NR,72.8322217,19.3824486
22414,NZM MAO RAJDANI,PANVEL,PNVL,26,NR,73.121756,18.990919
22414,NZM MAO RAJDANI,RATNAGIRI,RN,51,NR,73.356938,17.002793
22414,NZM MAO RAJDANI,KUDAL,KUDL,54,NR,73.67813000000000,16.017651
22414,NZM MAO RAJDANI,THIVIM,THVM,62,NR,73.87610400000000,15.62955
22414,NZM MAO RAJDANI,MADGAON,MAO,19,NR,73.97072400000000,15.267911
