Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12259,BKN DURONTO EXP,SEALDAH,SDAH,1,ER,88.374713,22.566758
12259,BKN DURONTO EXP,DHANBAD JN,DHN,1,ER,86.428956,23.790966
12259,BKN DURONTO EXP,KODERMA,KQR,14,ER,85.52945800000000,24.434741
12259,BKN DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,31,ER,,
12259,BKN DURONTO EXP,KANPUR CENTRAL,CNB,113,ER,80.350966,26.45424
12259,BKN DURONTO EXP,NEW DELHI,NDLS,132,ER,77.22000400000000,28.642314
12259,BKN DURONTO EXP,LOHARU,LHU,175,ER,75.801613,28.427051
12259,BKN DURONTO EXP,SADULPUR JN,SDLP,181,ER,75.386989,28.631138
12259,BKN DURONTO EXP,CHURU,CUR,179,ER,74.966203,28.288281
12259,BKN DURONTO EXP,RATANGARH JN,RTGH,196,ER,74.6236025668,28.0665867073
12259,BKN DURONTO EXP,SRI DUNGARGARH,SDGH,200,ER,74.008011,28.070311
12259,BKN DURONTO EXP,BIKANER JN,BKN,147,ER,73.31659800000000,28.014139
