Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12283,ERS NZM DURONTO,ERNAKULAM JN,ERS,4,NR,76.290672,9.969542
12283,ERS NZM DURONTO,KOZHIKODE,CLT,42,NR,75.780407,11.246234
12283,ERS NZM DURONTO,MANGALORE JN,MAJN,39,NR,74.88006,12.866193
12283,ERS NZM DURONTO,MADGAON,MAO,45,NR,73.97072400000000,15.267911
12283,ERS NZM DURONTO,RATNAGIRI,RN,69,NR,73.356938,17.002793
12283,ERS NZM DURONTO,PANVEL,PNVL,66,NR,73.121756,18.990919
12283,ERS NZM DURONTO,VASAI ROAD,BSR,29,NR,72.8322217,19.3824486
12283,ERS NZM DURONTO,SURAT,ST,26,NR,72.840793,21.206568
12283,ERS NZM DURONTO,VADODARA JN,BRC,26,NR,73.181065,22.310756
12283,ERS NZM DURONTO,RATLAM JN,RTM,17,NR,75.050826,23.34038
12283,ERS NZM DURONTO,KOTA JN,KOTA,4,NR,75.8805,25.223553
12283,ERS NZM DURONTO,H NIZAMUDDIN,NZM,10,NR,77.254249,28.58733
