Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
22317,HUMSAFAR EXP,SEALDAH,SDAH,0,ER,88.374713,22.566758
22317,HUMSAFAR EXP,ASANSOL JN,ASN,0,ER,86.975152,23.691441
22317,HUMSAFAR EXP,DHANBAD JN,DHN,0,ER,86.428956,23.790966
22317,HUMSAFAR EXP,GAYA JN,GAYA,0,ER,84.999294,24.803978
22317,HUMSAFAR EXP,PT DEEN DAYAL UPADHYAY JN,DDU,0,ER,,
22317,HUMSAFAR EXP,VARANASI JN,BSB,0,ER,82.986468,25.327281
22317,HUMSAFAR EXP,LUCKNOW NR,LKO,0,ER,80.925291,26.830675
22317,HUMSAFAR EXP,BAREILLY,BE,0,ER,79.4108444,28.3371543
22317,HUMSAFAR EXP,MORADABAD,MB,0,ER,78.765801,28.831621
22317,HUMSAFAR EXP,SAHARANPUR,SRE,0,ER,77.54173900000000,29.960529
22317,HUMSAFAR EXP,AMBALA CANT JN,UMB,0,ER,76.826966,30.338918
22317,HUMSAFAR EXP,LUDHIANA JN,LDH,0,ER,75.84787300000000,30.912367
22317,HUMSAFAR EXP,JAMMU TAWI,JAT,0,ER,74.880117,32.706975
