Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12023,JANSHATABDI EXP,HOWRAH JN,HWH,5,ECR,88.34099900000000,22.584078
12023,JANSHATABDI EXP,DURGAPUR,DGR,20,ECR,87.297902,23.495046
12023,JANSHATABDI EXP,ASANSOL JN,ASN,17,ECR,86.975152,23.691441
12023,JANSHATABDI EXP,CHITTARANJAN,CRJ,22,ECR,86.878036,23.857138
12023,JANSHATABDI EXP,JAMTARA,JMT,21,ECR,86.805183,23.958904
12023,JANSHATABDI EXP,MADHUPUR JN,MDP,26,ECR,86.642183,24.270633
12023,JANSHATABDI EXP,JASIDIH JN,JSME,29,ECR,86.644255,24.514517
12023,JANSHATABDI EXP,JHAJHA,JAJ,6,ECR,86.399854,24.779456
12023,JANSHATABDI EXP,JAMUI,JMU,12,ECR,86.25477500000000,24.971949
12023,JANSHATABDI EXP,LUCKEESARAI JN,LKR,21,ECR,86.093210587,25.1716617005
12023,JANSHATABDI EXP,HATHIDAH JN,HTZ,29,ECR,85.987826,25.367027
12023,JANSHATABDI EXP,MOKAMEH JN,MKA,33,ECR,85.91304900000000,25.391885
12023,JANSHATABDI EXP,BARH,BARH,40,ECR,85.70942600000000,25.46165
12023,JANSHATABDI EXP,BAKHTIYARPUR JN,BKP,45,ECR,85.52956400000000,25.45611
12023,JANSHATABDI EXP,PATNA SAHEB,PNC,50,ECR,85.230942,25.585856
12023,JANSHATABDI EXP,PATNA JN,PNBE,25,ECR,85.136824,25.60256
